,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
28, , , , , ,p,p, , , , , , , , , , ,q, , , , , , , , , , , , , , , , ,p,p,q,q,q,q,q,p, , , , , , , , , , , ,q, , ,p,q,q,q,q,q,p, 
29, , , , , ,p,p, , , , , , , , , , ,q, , ,q, , , , , , , , , , , , ,q,q,p,p,p,q,q,q,p, , , , , , , , , , , ,q,q,p,p,q,q,q,q,q,p, 
30, , , , , ,p,p, , , , , , , , , , , , , , , , , , , , , , , , , ,q,q, , , ,p,p,q,q,q,q,q, , ,q, , , , , , , ,p,q,q,q,q,q,q,q,p, 
31, , , , , ,p,p, , , , , , , , , ,q, ,q, , , , , , , , , , , , ,q,q, , , , , ,q,q,q, , , , , ,q, , , , , , ,p,p,q,q,q,q,q,q,q,p, 
32, , , , , ,p,p, , , , , , , , ,p,q,q, , , , , , , , , , , , ,q,q, , , , , , ,q, ,q, , , , , ,q, , , , , , ,p,q,q,q,q,q,q,q,q,p, 
33, , , , , ,p,p, , , , , , , , ,p,p, ,q, , , , , , , , , , ,q,q, , , ,q, , , ,q, , , , , , , ,q, , , , , , ,p,q,q,q,q,q,q,q,q,p, 
34, , , , , ,p,p, , , , , , , , , , , , , , , , , , , , , ,q,q, ,q, , ,q,q, , ,q, , , ,q, , , ,q, , , , , ,p,p,q,q,q,q,q,q,q,q,p, 
35, , , , , ,p,p, , , , , ,q,q, , ,q, , , , ,q, , , , , ,q,q, , ,q, , , ,q, , ,q, , , , , , , ,q, , , , , ,p,q,q,q,q,q,q,q,q,q,p, 
36, , , , , ,p,p, , , , , , ,q, , , , , , ,q,q, , , , ,q,q, , , ,q, , , ,q, , ,q,p,p, , , , , ,q, , , , , ,p,q,q,q,q,q,q,q,q,q,p, 
37, , , , , ,p,p, , , , ,q, , , , , , , , , , , , , , ,q, , , , ,q,p,p,p,q,q,q,q,p,p, , , , , ,q, , , , ,p,p,q,q,q,q,q,q,q,q,q,p, 
38, , , , , ,p,p, , , , ,q, , , , ,q, , , , , ,q, , ,q,q, , ,q,q,q,q,q,q,p, , , ,p,q,p, , , , , ,q, , , ,p,q,q,q,q,q,q,q,q,q,q,p, 
39, , , , , ,p,p, , , , ,q, , , , , , , , , , , , , ,q, , , , , ,p,q,q,p,p, , , , ,q,p, , , , , ,q, , , ,p,q,q,q,q,q,q,q,q,q,q,p, 
40, , , , , ,p,p, , , , , , , ,q, ,q, , , , , , ,q,q, , , , , , ,p,q,q,p, , ,q, , ,q, , , , , , ,q, , ,p,p,q,q,q,q,q,q,q,q,q,q,p, 
41, , , , , ,p,p, , , , , , , , , , , , , , , , ,q, , , , , , , ,p,q,q,p, , ,q, , ,q, , , , , , ,q, , ,p,q,q,q,q,q,q,q,q,q,q,q,p, 
42, , , , , ,p,p, , , , , , , , , , ,q, , , ,q, ,q, , , , , , , ,p,q,q,q,q,q,q, , ,q, , , , , , ,q, , ,p,q,q,q,q,q,q,q,q,q,q,q,p, 
43, , , , , ,p,p, , , , , , , , , , ,q, , ,q,q, , , , , , , , , , ,q, , , , ,q,q,q,q, , , , , , ,q, , ,p,q,q,q,p,p,p,p,p,q,q,q,p, 
44, , , , , ,p,p, , , ,q, , , , , , ,q, ,q,q, , , , , , , , , , , ,q, , , , , ,q, ,q, , , , , , ,q,q,p,p,q,q,q,p, , , ,p,q,q,q,p, 
45, , , , , ,p,p, , , , , , , , ,q, , ,q, , ,q, , , , , , , , , , ,q, , , , , ,q, , , , , , , , , ,p,q,q,q,q,q,p, , , ,p,q,q,q,p, 
46, , , , , ,p,p, , , , , , , , , , , , , ,q, , , , , , , , , , , ,q,q, , , , ,q, , , , , , , , , ,p,q,q,q,q,q,p, , , ,p,q,q,q,p, 
47, , , , , ,p,p, , , , , , , , , ,q, , , , , , , , , , , , , , , , ,q,q,q,q,q,q, , , , , , , , , ,q,p,p,p,p,p,q, , , ,p,q,p,p,p, 
48, , , , , ,p,q, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,p,q,p, , , , , , , , , ,q,q, , , , , ,q, , , ,p,q,p, , , 
49, , , , , , ,q,q,q, , , , , , , , , , ,q,q, , , , , , , , , , ,q,q,q, ,p,q,p, , , , , , , , , ,q, , , , , , ,q,q,q, ,q,p,p, , , 
50,q, , , , , ,q, , ,q, , , , , ,q, , , , ,q, , , , , , , , , , , , ,q,q,p,q,p,p, , , , , , , , ,q, , , , , , , , ,q,q,q, , , , , 
51,q,q, , , , ,q, , , , , , , , , , , , , , , , , , , , , , , , , , , ,p,q,q,q,p,p,p, , , , , , ,q,q,p, , , , , , , ,q,q, , , , , 
52, ,q,q, , , ,q,q, , , , , , , , , , , ,q, , , , , , , , , , , , , , ,p,q,q,q,q,q,p,p,p, , , , , ,p,p,p,p, , , , , ,q, , , , , , 
53, , ,q, , , ,q, , , , , , , , , , , , , ,q, , , , , , , , , , , , , ,p,q,q,q,q,q,q,q,p, , , , , ,p,q,p,p, , , , ,q,q, , , , , , 
54, , ,q, , , ,q,q,q, , , , ,q, , , , , , , , ,q, , , , , , , , , ,p,p,p,q,q,q,q,q,q,q,p,p, , , , ,p,q,p, , ,q,q, ,q, , , , , , , 
55, , ,q, , , ,q, , , , , , , , , , , , ,q,q,q, , , , , , , , , , ,p,q,q,q,q,q,q,q,q,q,q,p,p, , , ,p,p,p, , , ,q,q,q, , , , , , , 
56, , ,q, , , ,q, , , , , , , , , , , , , , , , , , , , , ,q, , , ,p,q,q,q,q,q,q,q,q,q,q,q,p, , , , ,p,q,q, , , ,q,q, , , , , , , 
57, , ,q, , , ,q,q, , , , , , , , , , , , , , ,q, , , , , , , , , ,p,q,q,q,q,q,q,q,q,q,q,q,p, , , , , , ,q, , , ,q, , , , , , , , 
58, , ,q, , , ,q, , , , , , , , , , , ,q, , , , , , , , , , , , , ,p,q,q,q,q,q,q,q,q,q,q,q,p, , , , , , ,q,q,q,q,q, , , , , , , , 
59, , ,q, , , ,q, , , , , , , , , , , , , , , , , , , , , , , , ,p,p,q,q,q,q,q,q,q,q,q,q,q,p,p, , , , , , , , ,q, , , , , , , , , 
60, , ,q, , , ,q, , , , , , , , , , , , , ,q, , , , , , , , , , ,p,q,q,q,q,q,q,q,q,q,q,q,q,q,p, , , , , , , ,q,q, , , , , , , , , 
61, , ,q, , , ,q, , , , , , , , , , , , , , , , , , , , , , , , ,p,q,q,q,q,q,q,q,q,q,q,q,q,q,p, , , , , , , ,q, , , , , , , , , , 
62, , ,q, , , ,q, , , , , , , , , , , , , , , , , , , , , ,q, , ,q,p,p,p,p,p,p,p,p,p,p,p,p,p,q,q, , , , , , , , , , , , , , , , , 
63, , ,q, , , ,q, , , , , , , , , ,q, , , , , , , , , , , , ,q,q,q, , , , , , , , , , , , , , ,q, , , , , , , , , , , , , , , , , 
